DC,Connected Server,Application,Server Type,Application Owners,App Environment
DQS,F061ECPSQLS03.dqscust.local\ECAPTURE,Ecapture,NONPROD-DECOM, , 
DQS,F061EDXSQLS02.dqscust.local\EDMX,DMX,NONPROD,DMX-Support@epiqglobal.com, 
DQS,f061edxsqls02.dqscust.local\EDX,DMX,NONPROD,Craig Brass, 
DQS,F061ESCAPPS01.dqscust.local\STATCOLLECTOR,StatCollector,NONPROD,EpiqMetricsDev@epiqglobal.com, 
LVDC-EMS,P054ARQDRLSQL03.EMSCUST.LOCAL\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ-D
DQS,F061NLPSQLS01.dqscust.local\NEXLP,NexLP,NONPROD, , 
DQS,F061NTCSQLS01.dqscust.local\NOTICING,Chap 13,NONPROD,"Shayne Salisbury, Michelle Davis", 
DQS,F061NTCSQLS02.dqscust.local\PRINTANDMAIL,Chap 13,NONPROD,"Shayne Salisbury, Michelle Davis", 
DQS,F061OCRSQLS01.dqscust.local\OCR,OCR,NONPROD, , 
DQS,F061PRTSQLS02.dqscust.local\PORTAL,Portal,NONPROD, , 
DQS,F061STSSQLS01.dqscust.local\ESS,STS = Epiq Corp Doc Storage System,NONPROD,Chapter 11, 
PDC,FIOSCORPSQL.fiosinc.com,FIOS,DECOM, ,Send decom request to ServerOps
HKDC,P062LAWSQLA01.APCUST.LOCAL\LAW,LAW,DECOM,BAEBusinessAppE@epiqglobal.com, 
LVDC-USCUST,P054UHGRLSQL01.USCUST.LOCAL\EDDS,Relativity,PROD,RTT, 
LVDC-GCG,CMH2020SQABBYY.GCDOMAIN.LOCAL\ABY1,2020,PROD,ECA_DataServicesLegacyTeam@epiqglobal.com,Legacy GCG
DQS,L061EXTSQLS03.dqscust.local\EXTERRO,Exterro,DECOM, , 
LVDC-Corp,L061SCOAPPS01.EPIQCORP.COM\MSORCH_LAB,Unknown,NONPROD, , 
LVDC-USCUST,P054RL2USQL00.uscust.local\EDDS,Relativity,Prod,RTTRelativityTe@epiqglobal.com,
LVDC-GCG,NY1-ADT.GCDOMAIN.LOCAL,CLASS,PROD-DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-CORP,P016FIMSQLS01.EPIQCORP.COM\FIMPROD,Forefront Identity Manager,DECOM, ,Send decom request to ServerOps
LVDC-Ranger,P016IGNMON01.RANGER.EPIQ\SQLADMIN,SQL Management,Decom, ,RITM0170942
DEDC,P063WCRELINVSQL01.EUCUST.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-GCG,CMH2020SQUAT.GCDOMAIN.LOCAL\UAT1,2020,PROD,ECA_DataServicesLegacyTeam@epiqglobal.com,Legacy GCG
LVDC-GCG,CMHI-WINPAK.GCDOMAIN.LOCAL,legacy GCG,PROD,ECA_DataServicesLegacyTeam@epiqglobal.com, 
SHDC,RLSQL01,Relativity,PROD,,Relativity(Huawei/Offline)
SHDC,P056RELSQLS01.CHNCUST.LOCAL\EDDS,Relativity,PROD,,Relativity2N (China)
LVDC-EMS,P054ARQDRLSQL04.EMSCUST.LOCAL\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ-D
LVDC-EMS,P054ARQDRLSQL05.EMSCUST.LOCAL\DIST04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ-D
LVDC-EMS,P054ARQERLSQL01.ARQE.LOCAL,Relativity,PROD,,
SHDC,SHZRLSQLEDDS\EDDS,Relativity,PROD,,Relativity(Huawei/Offline)
LVDC-ITAR,P054TREDXSQLS02.HCUSCUST.LOCAL\EDMX,DMX,PROD,DMX-Support@epiqglobal.com, 
TKDC,P053RL1MSQL00.APCUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-Ranger,P054CICMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054CICMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-EMS,P054ARQERLSQL02.ARQE.LOCAL,Relativity,PROD,,
LVDC-Ranger,P054HICMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054HICMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
TUDC,P077RL1ZSQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LFDC,P078CTXSQLS01.EUCUST.LOCAL\CITRIX,Citrix,DECOM,,CHG0071204
TUDC,TUK-P-OPSQL-12.client.dtiglobal.com,NuixReporting,PROD,Holmes Cooper, 
TUDC,TUK-P-OPSQL-14.client.dtiglobal.com,NuixReporting,PROD,Holmes Cooper, 
LVDC-Corp,P054BSFSQLU01.AMER.EPIQCORP.COM,Bulk Securities Server,NONPROD,BAEBusinessAppE@epiqglobal.com, 
LVDC,P077FOSSQLS01.client.dtiglobal.com,FIOS-ADP,PROD,Ramon Caldera, 
LVDC-USCUST,P054ESCAPPS01.USCUST.LOCAL\STATCOLLECTOR,StatCollector,PROD,EpiqMetricsDev@epiqglobal.com, 
LVDC-Corp,P054CMXSQLS02.AMER.EPIQCORP.COM,Claims Matrix,NONPROD,DL-ECADataServices@epiqglobal.com, 
TUDC,P077RL1USQL00.client.dtiglobal.com\EDDS,Relativity,PROD, , 
TUDC,TUK-I-SQLSEN-01.corp.dtiglobal.com,SentryOne,PROD,Senthel Raghavan, 
TUDC,P077RL1FSQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,TUK-H-FMAUDT-01.client.dtiglobal.com,FM,PROD,Hanif Barnwell, 
TUDC,P077RL1FSQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
UKDC,P064RL1SSQL00.CLIENT.DTIGLOBAL.COM\EDDS,Relativity,PROD,,
UKDC,P064RL1VSQL00.eucust.local\EDDS,Relativity,PROD, , 
UKDC,P064WCRELINVSQL.eucust.local,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,P077SQLMGMT02.corp.dtiglobal.com,SQL Management,PROD,IT-DBA@epiqglobal.com,
TUDC-ITAR,P077RL1CSQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL46
TUDC,TUK-I-CMSQLV-04.corp.dtiglobal.com\CMSQL04,EpiqScriptUtility,PROD,"Ops Engineering/Tae Yi, Jared Knutson", 
TUDC,P077RL1LSQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
KADC,P082RL1GSQL01.CACUST.LOCAL\DIST01,Relativity,Prod,RTTRelativityTe@epiqglobal.com,relativity.epiqsystems.ca
LVDC-Corp,P054CORSQLS02.AMER.EPIQCORP.COM\CORP,Corporate Website,DECOM, , 
KADC,P082RL1GSQL02.CACUST.LOCAL\DIST02,Relativity,Prod,RTTRelativityTe@epiqglobal.com,relativity.epiqsystems.ca
UKDC,P064LAWSQL02.client.dtiglobal.com,LAW,PROD,,
UKDC,P064SDASQL01.eucust.local,Data warehouse,PROD,HL-UK@epiqglobal.com,Structed data analysis for Hogen Lovells (EMS)
TUDC,TUK-T-OPSSQL-02.client.dtiglobal.com,Ecapture,NONPROD,"Ops Engineering/ Tae Yi, Jared Knutson", 
LVDC-Corp,P054SENSQLS01.EPIQCORP.COM,SentryOne,PROD,IT-DBA,
LVDC-Corp,P054ECASISS01.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054CRMSQLQ01.EPIQCORP.COM\CRM,CRM,DECOM, , 
LVDC-Corp,P054ECASQLP52.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLS04.AMER.EPIQCORP.COM\DWPROD,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054ECASQLP56.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLS12.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
HKDC,P062EDXSQLS02.APCUST.LOCAL\EDMX,DMX,PROD,ServerOps, 
TUDC,TUK-T-ITMSQL-31.client.dtiglobal.com\ITMSQL,ITOM,NONPROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,P054ARQERLSQL03.ARQE.LOCAL,Relativity,PROD,,
LVDC-EMS,P054ARQERLSQL04.ARQE.LOCAL\DIST04,Relativity,PROD,,
DEDC,P063EDXSQLS02.eucust.local\EDMX,DMX,PROD, , 
LFDC,P078APPSQLS01.EUCUST.LOCAL\APPS01,Nuix,PROD,,
LFDC,P078APPSQLS01.EUCUST.LOCAL\NUIX,Nuix,PROD,,
LVDC-Corp,P054ECASISP51.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLP71.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASRSP51.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASRSS01.AMER.EPIQCORP.COM,Claims Matrix,PROD, , 
LVDC-Corp,P054ECRSQLA01.AMER.EPIQCORP.COM\SSISPROD,Claims Matrix,PROD,DL-ECADataServices@epiqglobal.com, 
LVDC-Corp,P054ECRSQLA02.AMER.EPIQCORP.COM\ECARPROD,Claims Matrix,PROD,DL-ECADataServices@epiqglobal.com, 
LVDC-Corp,S061CORSQLS01.AMER.EPIQCORP.COM\EPIQSYSTEMS,epiqsystems.com,DECOM, , 
LVDC-Corp,F061CRMSQLS01.EPIQCORP.COM\CRM,Dynamics,DECOM, , 
LVDC-EMS,P054BSRELSQL01.DM61.LOCAL,Relativity,PROD,,
LVDC-EMS,P054BSRELSQL02.DM61.LOCAL,Relativity,PROD,,
LVDC-Ranger,P054ECASISS04.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054ECASRSS04.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-USCUST,P054RELSQLC04.USCUST.LOCAL,Relativity,DECOM, ,CHG0067981
LVDC-USCUST,P054ACSSQLS01.uscust.local,NUIX,PROD,Ops Engineering,
LVDC-USCUST,P054PRCSQLS01.uscust.local,NUIX,PROD,Ops Engineering,
TUDC,P077ACSSQLS01.client.dtiglobal.com,Access Control,PROD,Lsops,Access control
TUDC,D077ENGSQLS01.client.dtiglobal.com,Operations Engineering,NONPROD,Jared Knutson,
TUDC,P077CTXSQLS02.CLIENT.DTIGLOBAL.COM,Citrix,PROD, , 
DQS,S061OCRSQLS01.dqscust.local\OCR,OCR,NONPROD, , 
HKDC,P062CTXSQLS01.APCUST.LOCAL\CITRIX,Citrix,PROD,ServerOps, 
LVDC-EMS,P054CLINVSQL01.DM85.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,F061EBSSQLB01.AMER.EPIQCORP.COM\EBS,Bankruptcy,PROD,EBS-ProdDevTeam@epiqglobal.com, 
LVDC-Corp,P054ECASQLS06.AMER.EPIQCORP.COM\SQLADMIN,Claims Matrix,PROD, , 
LVDC-Corp,P054ECASQLS07.AMER.EPIQCORP.COM\DASQL07,Claims Matrix,PROD, , 
LVDC-Corp,P054EDWSISS01.AMER.EPIQCORP.COM,ECAR,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-EMS,P054CLRELSQL01.DM85.LOCAL,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D01LAWSQL01.IDSP.LOCAL,LAW,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-Corp,P054ECASQLP72.AMER.EPIQCORP.COM,Wells Fargo Training,NONPROD,joball@epiqglobal.com, 
LVDC-Corp,P054EDWSQLS01.AMER.EPIQCORP.COM,ECAR,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054DCSSQLS01.AMER.EPIQCORP.COM,ECAR,PROD,ECAR,
LVDC-Corp,P054ECASQLS05.AMER.EPIQCORP.COM\DWDEV,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-EMS,P054D05LAWSQL01.DM05.LOCAL,LAW,PROD, , 
LVDC-ITAR,P054TRSQLMGMT04.HCUSCUST.LOCAL\SQLADMIN,SQL Management,PROD,IT-DBA@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLS05.AMER.EPIQCORP.COM\SQL01,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLS06.AMER.EPIQCORP.COM\SQL01,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054ECRSQLA03.AMER.EPIQCORP.COM\ECARDEV,Claims Matrix,NONPROD,DL-ECADataServices@epiqglobal.com, 
LVDC-EMS,P054D08RLSQL00.DM08.LOCAL\EDDS,Relativity,PROD,,
LVDC-EMS,P054D08RLSQL01.DM08.LOCAL\DIS01,Relativity,PROD,,
LVDC-EMS,P054D09RLSQL00.DM09.LOCAL\EDDS,Relativity,PROD,,
LVDC-EMS,P054D09RLSQL01.DM09.LOCAL\DIS01,Relativity,PROD,,
LVDC-USCUST,P054EXTSQLS01.uscust.local\EXTERRO,Exterro,DECOM, ,Send decom request to ServerOps
LVDC-EMS,P054D11LAWSQL01.dm11.local\LAW,LAW,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-EMS,P054D11RLSQL00.DM11.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D11RLSQL01.DM11.LOCAL\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D12RLSQL00.DM12.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D12RLSQL01.DM12.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-USCUST,P054EQNSQLS02.USCUST.LOCAL\EQND,EquivioNearDupes,DECOM, , 
LVDC-EMS,P054D14LAWSQL01.DM14.LOCAL,LAW,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,P054D18LAWSQL01.DM18.LOCAL,LAW,PROD, , 
LVDC-EMS,P054D20RLSQL00.DM20.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D20RLSQL01.DM20.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D20RLSQL02.DM20.LOCAL\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D20RLSQL03.DM20.LOCAL\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D21LAWSQL01.DM21.LOCAL\LAW,LAW,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-EMS,P054D22NLPSQL01.DM22.LOCAL,NexLP,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,P054D22RLSQL00.DM22.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D22RLSQL01.DM22.LOCAL\DIST01,Relativity,PROD, , 
LVDC-EMS,P054D22RLSQL02.DM22.LOCAL\DIST02,Relativity,PROD, , 
LVDC-EMS,P054D26RLSQL00.DM26.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D26RLSQL01.DM26.LOCAL\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D34RLSQL00.DM34.LOCAL\EDDS,Relativity,DECOM,,
LVDC-EMS,P054D34RLSQL01.DM34.LOCAL\DIS01,Relativity,DECOM,,
LVDC-EMS,P054D35RLSQL01.DM35.local,Relativity,PROD,,
LVDC-EMS,P054D35RLSQL02.DM35.local,Relativity,PROD,,
LVDC-EMS,P054D35RLSQL03.DM35.local,Relativity,PROD,,
LVDC-EMS,P054D54LAWSQL01.DM54.local,LAW,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-EMS,P054D54RLSQL00.RLTVARC.LOCAL,Relativity,PROD, , 
LVDC-EMS,P054D54RLSQL01.RLTVARC.LOCAL,Relativity,PROD, , 
LVDC-EMS,P054D56LAWSQL01.DM56.local,LAW,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-EMS,P054D61RLSQL00.DM61.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D61RLSQL01.DM61.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D76RLSQL00.DM76.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D76RLSQL01.DM76.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
UKDC,P064CMXSQLA01.eucust.local\CMX01,Claims Matrix,PROD,DL-ECADataServices@epiqglobal.com, 
UKDC,P064CMXSQLA02.eucust.local\ECADA01,Claims Matrix,PROD,DL-ECADataServices@epiqglobal.com, 
UKDC,P064UTLSQLS01.eucust.local\UTIL01,Octopus,PROD, , 
SGDC,SGP-I-NXSQL-01.client.dtiglobal.com,NUIX,PROD, , 
DEDC,P063ESCAPPS01.eucust.local\STATCOLLECTOR,StatCollector,PROD,EpiqMetricsDev@epiqglobal.com, 
LVDC-EMS,P054D77RLSQL00.DM77.LOCAL\EDDS,Relativity,PROD,,
LVDC-EMS,P054D77RLSQL01.DM77.LOCAL\Dis01,Relativity,PROD,,
DEDC,P063LAWSQLS01.eucust.local,LAW,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-EMS,P054D85RLSQL00.DM85.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D85RLSQL01.DM85.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D87RLSQL00.DM87.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-Corp,P054SHPSQLS03.AMER.EPIQCORP.COM\SP2016TEST,Sharepoint,NONPROD, , 
LVDC-Corp,P054SQLCI0803.EPIQCORP.COM\WEBSENSE,Websense,DECOM, ,CHG0069049
LVDC-EMS,P054D87RLSQL01.DM87.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054D89NXSQL01.EMSCUST.LOCAL,NexLP,PROD, , 
LVDC-EMS,P054D89RLSQL01.EMSCUST.LOCAL\REL01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054D89RLSQL02.EMSCUST.LOCAL\REL02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
DEDC,P063NLPSQLS01.eucust.local,NexLP,PROD,BAEBusinessAppE@epiqglobal.com, 
DEDC,P063SQLMGMT01.eucust.local\SQLADMIN,SQL Management,PROD,IT-DBA@epiqglobal.com, 
LVDC-EMS,P054D89RLSQL03.EMSCUST.LOCAL\REL03,Relativity,PROD, , 
LVDC-EMS,P054D89RLSQL04.EMSCUST.LOCAL\REL04,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,P054SQLSENS01.EPIQCORP.COM\SENTRYONE,SentryOne,DECOM, , 
LVDC-ITAR,P054TRECPSQLS01.HCUSCUST.LOCAL\ECAPTURE,Ecapture,DECOM,"Ops Engineering/ Tae Yi, Jared Knutson", 
DEDC-Por,P063LAWSQLS02.PAG.EPQPORSCHE.DE,LAW,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-Corp,P054TRNSQLS01.AMER.EPIQCORP.COM\LEARNDEVELOP,Training,DECOM, ,DECOM
DEDC-Por,p063sqlmgmt02.PAG.EPQPORSCHE.DE\sqladmin,DBA utility,PROD,IT-DBA@epiqglobal.com,
LVDC-EMS,P054D92RLSQL01.DM92.LOCAL,Relativity,PROD,,
LVDC-EMS,P054D92RLSQL02.DM92.LOCAL,Relativity,PROD,,
LVDC-EMS,P054D92RLSQL03.DM92.LOCAL,Relativity,PROD,,
LVDC-EMS,P054D93LAWSQL01.EMSCUST.LOCAL\LAW,LAW,PROD, , 
LVDC-EMS,P054D99RLTSQL01.DM99.LOCAL,Relativity,PROD,,
LVDC-EMS,P054D99RLTSQL02.DM99.LOCAL,Relativity,PROD,,
LVDC-EMS,P054D99VNSQLT01.DM99.local,Venio,PROD,BAEBusinessAppE@epiqglobal.com,
HKDC,P062ESCAPPS01.APCUST.LOCAL\STATCOLLECTOR,IT,PROD,"Jared Knutson, Ops Engineering", 
HKDC,P062SQLMGMT01.APCUST.LOCAL\SQLADMIN,SQL Management,PROD,IT-DBA@epiqglobal.com, 
LVDC-GCG,P054GCGSQLU01,CLASS,PROD,,
LVDC-GCG,P054GCTXSQLS01.GCDOMAIN.LOCAL,Citrix,PROD,,
KADC,P082CTXSQLS01.CACUST.LOCAL,Citrix,PROD,James Luhring, 
KADC,P082ESCAPPS01.CACUST.LOCAL\STATCOLLECTOR,StatCollector,PROD, , SQL Max memory to be 60% of the total server memory
KADC,P082ICTXSQLS01.CACUST.LOCAL,Citrix,PROD,James Luhring, 
LVDC-ITAR,P054HCGOASQLS01.HCUSCUST.LOCAL\GOANYWHERE,GoAnywhere,DECOM,BAEBusinessAppE@epiqglobal.com,CHG0069430
LVDC-USCUST,P054FLTSQLS01.USCUST.LOCAL\FORLIT,Forensic Litigation,PROD-DECOM, , 
LVDC-ITAR,P054TREXTSQLS01.HCUSCUST.LOCAL\EXTERRO,Exterro,DECOM, , 
LVDC-Corp,P054XMPSQL01.AMER.EPIQCORP.COM,XMPie,NONPROD,BAE, 
CADC,P060CTXSQLS01.CACUST.LOCAL\CITRIX,Citrix,PROD-DECOM, ,RITM0218516
KADC,P060ESCAPPS01.CACUST.LOCAL\STATCOLLECTOR,STATCOLLECTOR,DECOM,EpiqMetricsDev@epiqglobal.com, 
CADC,P060INFSQLS11.CACUST.LOCAL\ITPROD01,Utility,DECOM, , 
CADC,P060SMNLPSQL01.cacust.local\NEXLP,NexLP,DECOM, ,Send decom request to ServerOps
KADC,P082SQLMGMT01.CACUST.LOCAL,Management,PROD,IT-DBA@epiqglobal.com, 
LFDC,P078SQLMGMT01.EUCUST.LOCAL\SQLADMIN,DBA utility,PROD,,
CADC,P060SQLMGMT01.CACUST.LOCAL\SQLADMIN,SQL Management,DECOM,IT-DBA@epiqglobal.com,DBA team to retire this/ CHG0068782
LVDC-corp,P054SQLRPTS01.amer.epiqcorp.com\CORPSSRS,ReportingServer,Prod,,
LVDC-Corp,E061ESRSQLS01.AMER.EPIQCORP.COM\EPIQDIRECTORY,EpiqService,PROD, , 
LVDC-Corp,P054BSFSQL01.AMER.EPIQCORP.COM,Unknown,PROD,BAE, 
LVDC-Corp,P054CORSQLS01.AMER.EPIQCORP.COM\EPIQSYSTEMS,Unknown,PROD, , 
HKDC,P062PRTSQLS01.APCUST.LOCAL\PORTAL,Portal,Decom, , 
LVDC-Corp,P054CRMSQLP01.EPIQCORP.COM\CRM,Dynamics,PROD, , 
LVDC-Corp,P054ECACOMMS01.AMER.EPIQCORP.COM\COMM01,Claims Matrix,PROD, , 
LVDC-Corp,P054IBFSQLS01.EPIQCORP.COM\BIGFIX01,BigFix,DECOM, , 
LVDC-Corp,P054ICTXSQLS01.AMER.EPIQCORP.COM,Citrix,PROD,James Luhring, 
LVDC-Corp,P054II3SQLD01.AMER.EPIQCORP.COM\CIC,Interactive Intelligence (I3 Phone System),PROD, , 
LVDC-Corp,P054OPNSQLS02.AMER.EPIQCORP.COM,Open Print,PROD,DL-EpiqPrintSE <EpiqPrintSE@epiqglobal.com>,Pre-prod environment
HKDC,P062TMXSQLS01.APCUST.LOCAL\TMX,TMX,Decom,Court Reporting, 
LVDC-Corp,P054NAVSQLS01.EPIQCORP.COM\NAVISION,Navision,PROD,"Controller/Beth Armstrong,Barry Ferguson", 
DEDC,P063EQNSQLS02.eucust.local\EQND (RITM0184179),EquivioNearDupes,DECOM, ,Send decom request to ServerOps
LVDC-Corp,P054OPNSQLS01.AMER.EPIQCORP.COM,Open Print,PROD,DL-EpiqPrintSE <EpiqPrintSE@epiqglobal.com>, 
LVDC-Corp,P054OPNSQLS03.AMER.EPIQCORP.COM,Open Print,PROD,DL-EpiqPrintSE <EpiqPrintSE@epiqglobal.com>, 
LVDC-Corp,P054OPNSQLS05.AMER.EPIQCORP.COM,Open Print,PROD, , 
LVDC-Corp,P054OPNSQLS06.AMER.EPIQCORP.COM,Open Print,PROD, , 
LVDC-Corp,P054SHPSQLS02.AMER.EPIQCORP.COM\SHAREPOINT02,Sharepoint,PROD, , 
KADC,P082HEPCSQLP02.AMER.EPIQCORP.COM,Hep C,PROD,"Gibi Peter, Joe Bottrell", 
DEDC,P063PRTSQLS02.eucust.local\PORTAL,Portal,DECOM,,Send decom request to ServerOps
KADC,P082HEPCSQLS01.AMER.EPIQCORP.COM,Hep C,PROD,"Gibi Peter, Joe Bottrell", 
LVDC-Corp,P082II3SQLS01.AMER.EPIQCORP.COM\CIC,I3,PROD, , 
HKDC,P062UTLSQLS01.APCUST.LOCAL\UTIL01,Octopus,PROD,Product Developement, 
UKDC,LON-I-RBISQL-01.corp.dtiglobal.com,Reporter Base,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-ITAR,P054TRNLPSQLS01.HCUSCUST.LOCAL\NEXLP,NexLP,PROD, , 
LVDC-Ranger,P054CFCMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
DEDC,P063VMVAPPB01.eucust.local\VDI,Vmware,DECOM, ,Send decom request to ServerOps
LVDC-Ranger,P054CFCMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054ECASISP04.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054ECASRSP04.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054OPCMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
UKDC,P064CMXSSISA02.eucust.local\SSISDEV,Claims Matrix,NONPROD,DL-ECADataServices@epiqglobal.com, 
LVDC-Ranger,P054OPCMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054SECMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054SECMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-Ranger,P054USCMXSQLP01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-USCUST,P054LITSQLS01.USCUST.LOCAL,Litigation,PROD-DECOM,Sagi Sam, 
LVDC-Ranger,P054USCMXSQLS01.RANGER.EPIQ,Claims Matrix,PROD, , 
LVDC-USCUST,P054CTXSQLS01.USCUST.LOCAL\CITRIX,Citrix,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-USCUST,P054NLPSQLB01.USCUST.LOCAL\NEXLP,NexLP,PROD,BAEBusinessAppE@epiqglobal.com, 
LVDC-USCUST,P054NTCSQLS01.USCUST.LOCAL\NOTICING,Chap 13,PROD,"Shayne Salisbury, Michelle Davis", 
LVDC-Corp,P064IBFSQLS01.EPIQCORP.COM\BIGFIX01,BigFix,DECOM, , 
LVDC-USCUST,P054NTCSQLS02.USCUST.LOCAL\PRINTANDMAIL,Chap 13,PROD,"Shayne Salisbury, Michelle Davis", 
LVDC-USCUST,P054SQLMGMT02.USCUST.LOCAL\SQLADMIN,SQL Management,PROD,IT-DBA@epiqglobal.com, 
LVDC-USCUST,P054UCTXSQLS01.USCUST.LOCAL,Citrix,PROD,James Luhring, 
LVDC-USCUST,P054UTLSQLS01.USCUST.LOCAL\GOA,Goanywhere,PROD, , 
